y,U_0,U_1,U_2
3.67181e-05,1.48772,0.00043595,0
0.000114497,4.59348,0.00215765,0
0.000201473,8.00549,0.00596724,0
0.000298735,11.7611,0.0126007,0
0.000407499,15.8164,0.0226678,0
0.000529125,20.0607,0.0364945,0
0.000665135,24.3046,0.0538263,0
0.000817228,28.298,0.0735631,0
0.000987308,31.7873,0.0938366,0
0.0011775,34.5892,0.112523,0
0.00139019,36.6415,0.127934,0
0.00162802,38.004,0.13928,0
0.00189399,38.8188,0.146724,0
0.0021914,39.2545,0.151075,0
0.00252399,39.4613,0.153359,0
0.00289591,39.5477,0.154476,0
0.00331181,39.5792,0.155037,0
0.00377689,39.5889,0.155381,0
0.00429698,39.5911,0.155664,0
0.00487856,39.5911,0.155944,0
0.00552893,39.5904,0.156241,0
0.0062562,39.5895,0.15656,0
0.00706949,39.5883,0.156903,0
0.00797895,39.587,0.157263,0
0.00899596,39.5855,0.157678,0
0.0101332,39.5837,0.157937,0
0.011405,39.5816,0.158981,0
0.0128272,39.5792,0.157131,0
0.0144175,39.576,0.16392,0
0.016196,39.5734,0.150971,0
0.0181847,39.5681,0.173021,0
0.0204086,39.5653,0.144219,0
0.0228955,39.558,0.179048,0
0.0256765,39.5531,0.141393,0
