y,U_0,U_1,U_2
3.67181e-05,1.63272,0.000227248,0
0.000114497,5.03262,0.00113319,0
0.000201473,8.74007,0.00316685,0
0.000298735,12.7715,0.00677801,0
0.000407499,17.0533,0.0123822,0
0.000529125,21.445,0.0202316,0
0.000665135,25.7341,0.0301728,0
0.000817228,29.6622,0.0414393,0
0.000987308,32.9873,0.0527372,0
0.0011775,35.5582,0.0626891,0
0.00139019,37.3567,0.0703683,0
0.00162802,38.486,0.0755678,0
0.00189399,39.1174,0.0786862,0
0.0021914,39.4293,0.0803954,0
0.00252399,39.564,0.0813269,0
0.00289591,39.6143,0.0819152,0
0.00331181,39.63,0.0823947,0
0.00377689,39.6336,0.0828671,0
0.00429698,39.6334,0.083369,0
0.00487856,39.6321,0.0839122,0
0.00552893,39.6304,0.0845007,0
0.0062562,39.6285,0.0851357,0
0.00706949,39.6263,0.0858182,0
0.00797895,39.6239,0.0865416,0
0.00899596,39.6211,0.0873353,0
0.0101332,39.618,0.0880207,0
0.011405,39.6144,0.0894444,0
0.0128272,39.6105,0.0880986,0
0.0144175,39.6057,0.094882,0
0.016196,39.6014,0.0842741,0
0.0181847,39.5947,0.102113,0
0.0204086,39.589,0.0815887,0
0.0228955,39.5819,0.105728,0
0.0256765,39.5717,0.0825793,0
