y,U_0,U_1,U_2
3.67181e-05,1.49537,0.000420931,0
0.000114497,4.61637,0.00208466,0
0.000201473,8.0432,0.00576975,0
0.000298735,11.8124,0.0121941,0
0.000407499,15.8789,0.0219564,0
0.000529125,20.1308,0.0353786,0
0.000665135,24.3778,0.052212,0
0.000817228,28.3695,0.0713743,0
0.000987308,31.8526,0.0910282,0
0.0011775,34.645,0.109092,0
0.00139019,36.6863,0.123921,0
0.00162802,38.0382,0.134766,0
0.00189399,38.8442,0.14181,0
0.0021914,39.2737,0.145859,0
0.00252399,39.4768,0.147919,0
0.00289591,39.5611,0.148859,0
0.00331181,39.5916,0.149266,0
0.00377689,39.6008,0.14946,0
0.00429698,39.6028,0.149585,0
0.00487856,39.6026,0.149694,0
0.00552893,39.6018,0.149804,0
0.0062562,39.6006,0.149918,0
0.00706949,39.5993,0.150038,0
0.00797895,39.5977,0.150154,0
0.00899596,39.5959,0.150306,0
0.0101332,39.5938,0.150281,0
0.011405,39.5913,0.151024,0
0.0128272,39.5886,0.148826,0
0.0144175,39.5849,0.155293,0
0.016196,39.5819,0.142079,0
0.0181847,39.576,0.163301,0
0.0204086,39.5724,0.135078,0
0.0228955,39.5647,0.167918,0
0.0256765,39.5585,0.132178,0
