y,U_0,U_1,U_2
3.67181e-05,1.48789,0.000435662,0
0.000114497,4.59397,0.00215627,0
0.000201473,8.00628,0.00596356,0
0.000298735,11.7622,0.0125932,0
0.000407499,15.8177,0.0226548,0
0.000529125,20.0621,0.0364743,0
0.000665135,24.306,0.0537971,0
0.000817228,28.2994,0.0735236,0
0.000987308,31.7886,0.0937859,0
0.0011775,34.5904,0.112461,0
0.00139019,36.6425,0.12786,0
0.00162802,38.0048,0.139197,0
0.00189399,38.8194,0.146632,0
0.0021914,39.255,0.150976,0
0.00252399,39.4618,0.153254,0
0.00289591,39.5481,0.154365,0
0.00331181,39.5795,0.15492,0
0.00377689,39.5892,0.155259,0
0.00429698,39.5915,0.155535,0
0.00487856,39.5915,0.155809,0
0.00552893,39.5908,0.156098,0
0.0062562,39.5898,0.156408,0
0.00706949,39.5887,0.156742,0
0.00797895,39.5874,0.157091,0
0.00899596,39.5858,0.157495,0
0.0101332,39.584,0.157741,0
0.011405,39.5819,0.158772,0
0.0128272,39.5795,0.156907,0
0.0144175,39.5763,0.163681,0
0.016196,39.5737,0.150717,0
0.0181847,39.5684,0.172738,0
0.0204086,39.5655,0.143945,0
0.0228955,39.5582,0.178708,0
0.0256765,39.5533,0.141106,0
