y,U_0,U_1,U_2
3.67181e-05,1.48776,0.000435889,0
0.000114497,4.59358,0.00215737,0
0.000201473,8.00566,0.00596648,0
0.000298735,11.7614,0.0125991,0
0.000407499,15.8167,0.0226651,0
0.000529125,20.061,0.0364904,0
0.000665135,24.3049,0.0538204,0
0.000817228,28.2983,0.073555,0
0.000987308,31.7875,0.0938263,0
0.0011775,34.5895,0.112511,0
0.00139019,36.6417,0.127919,0
0.00162802,38.0042,0.139263,0
0.00189399,38.8189,0.146705,0
0.0021914,39.2546,0.151055,0
0.00252399,39.4614,0.153338,0
0.00289591,39.5478,0.154453,0
0.00331181,39.5792,0.155013,0
0.00377689,39.5889,0.155356,0
0.00429698,39.5912,0.155637,0
0.00487856,39.5912,0.155916,0
0.00552893,39.5905,0.156211,0
0.0062562,39.5895,0.156529,0
0.00706949,39.5884,0.15687,0
0.00797895,39.5871,0.157227,0
0.00899596,39.5855,0.15764,0
0.0101332,39.5838,0.157896,0
0.011405,39.5816,0.158937,0
0.0128272,39.5793,0.157083,0
0.0144175,39.576,0.163869,0
0.016196,39.5735,0.150917,0
0.0181847,39.5681,0.17296,0
0.0204086,39.5653,0.14416,0
0.0228955,39.558,0.178975,0
0.0256765,39.5531,0.141331,0
