0 	25.898111 	0 	0 	0 	-6.1230923 	-5.6167028e-05 	0
0.00076390977 	17.420934 	41.728912 	0.00094162883 	0 	0 	0 	0
0.0015278195 	16.804132 	46.136195 	0.0020825934 	0 	0 	0 	0
0.0022917293 	16.517747 	48.624726 	0.0033272706 	0 	0 	0 	0
0.0030556391 	16.255351 	50.405204 	0.0046524719 	0 	0 	0 	0
0.0038195489 	15.989395 	51.797673 	0.006051506 	0 	0 	0 	0
0.0045834586 	15.714421 	52.95375 	0.0075197895 	0 	0 	0 	0
0.0053473684 	15.429345 	53.946075 	0.0090555472 	0 	0 	0 	0
0.0061112782 	15.133065 	54.822166 	0.010663519 	0 	0 	0 	0
0.006875188 	14.826559 	55.611443 	0.012339766 	0 	0 	0 	0
0.0076390977 	14.510058 	56.337392 	0.014084182 	0 	0 	0 	0
0.0084030075 	14.182348 	57.010493 	0.015906734 	0 	0 	0 	0
0.0091669173 	13.843955 	57.638352 	0.017806752 	0 	0 	0 	0
0.0099308271 	13.494286 	58.233756 	0.019788753 	0 	0 	0 	0
0.010694737 	13.131311 	58.80385 	0.021862132 	0 	0 	0 	0
0.011458647 	12.752475 	59.354711 	0.024036943 	0 	0 	0 	0
0.012222556 	12.355215 	59.890382 	0.026321846 	0 	0 	0 	0
0.012986466 	11.933643 	60.412433 	0.02873662 	0 	0 	0 	0
0.013750376 	11.48595 	60.926277 	0.031283739 	0 	0 	0 	0
0.014514286 	11.011508 	61.433728 	0.03395837 	0 	0 	0 	0
0.015278195 	10.510159 	61.936473 	0.036757343 	0 	0 	0 	0
0.016042105 	9.9765328 	62.434102 	0.039700273 	0 	0 	0 	0
0.016806015 	9.4007742 	62.929239 	0.042830476 	0 	0 	0 	0
0.017569925 	8.7990756 	63.421662 	0.046074967 	0 	0 	0 	0
0.018333835 	8.1683139 	63.908977 	0.049446009 	0 	0 	0 	0
0.019097744 	7.5041204 	64.38718 	0.052965138 	0 	0 	0 	0
0.019861654 	6.8298649 	64.858752 	0.056528351 	0 	0 	0 	0
0.020625564 	6.1497053 	65.306759 	0.060117164 	0 	0 	0 	0
0.021389474 	5.4762398 	65.73955 	0.063686097 	0 	0 	0 	0
0.022153383 	4.8180021 	66.148871 	0.067201558 	0 	0 	0 	0
0.022917293 	4.1752479 	66.535886 	0.070671802 	0 	0 	0 	0
0.023681203 	3.5454926 	66.9063 	0.074095555 	0 	0 	0 	0
0.024445113 	2.9295749 	67.255321 	0.07749987 	0 	0 	0 	0
0.025209023 	2.3252369 	67.59095 	0.080875993 	0 	0 	0 	0
0.025972932 	1.772799 	67.891499 	0.084032016 	0 	0 	0 	0
0.026736842 	1.2696452 	68.162658 	0.086953173 	0 	0 	0 	0
0.027500752 	0.86621231 	68.38327 	0.089359009 	0 	0 	0 	0
0.028264662 	0.59141859 	68.537339 	0.091070339 	0 	0 	0 	0
0.029028571 	0.35588308 	68.670781 	0.092550628 	0 	0 	0 	0
0.029792481 	0.27699203 	68.720144 	0.093079983 	0 	0 	0 	0
0.030556391 	0.19810099 	68.769506 	0.093609337 	0 	0 	0 	0
0.031320301 	0.17087166 	68.785911 	0.093762498 	0 	0 	0 	0
0.032084211 	0.1570252 	68.793851 	0.093821937 	0 	0 	0 	0
0.03284812 	0.14599686 	68.799983 	0.093867009 	0 	0 	0 	0
0.03361203 	0.14375632 	68.800692 	0.093868289 	0 	0 	0 	0
0.03437594 	0.14151578 	68.801402 	0.093869569 	0 	0 	0 	0
