y,U_0,U_1,U_2
3.67181e-05,1.48772,0.000435949,0
0.000114497,4.59349,0.00215765,0
0.000201473,8.0055,0.00596722,0
0.000298735,11.7612,0.0126006,0
0.000407499,15.8164,0.0226677,0
0.000529125,20.0607,0.0364944,0
0.000665135,24.3046,0.0538261,0
0.000817228,28.298,0.0735627,0
0.000987308,31.7873,0.0938362,0
0.0011775,34.5893,0.112523,0
0.00139019,36.6415,0.127933,0
0.00162802,38.004,0.139279,0
0.00189399,38.8188,0.146723,0
0.0021914,39.2545,0.151074,0
0.00252399,39.4613,0.153358,0
0.00289591,39.5477,0.154475,0
0.00331181,39.5792,0.155036,0
0.00377689,39.5889,0.15538,0
0.00429698,39.5911,0.155663,0
0.00487856,39.5911,0.155943,0
0.00552893,39.5904,0.15624,0
0.0062562,39.5895,0.156559,0
0.00706949,39.5883,0.156902,0
0.00797895,39.587,0.157261,0
0.00899596,39.5855,0.157676,0
0.0101332,39.5837,0.157935,0
0.011405,39.5816,0.158979,0
0.0128272,39.5792,0.157129,0
0.0144175,39.576,0.163918,0
0.016196,39.5734,0.150969,0
0.0181847,39.5681,0.173018,0
0.0204086,39.5653,0.144216,0
0.0228955,39.558,0.179045,0
0.0256765,39.5531,0.14139,0
