y,U_0,U_1,U_2
3.67181e-05,1.48773,0.000435932,0
0.000114497,4.59351,0.00215758,0
0.000201473,8.00553,0.00596705,0
0.000298735,11.7612,0.0126003,0
0.000407499,15.8165,0.0226672,0
0.000529125,20.0608,0.0364936,0
0.000665135,24.3046,0.053825,0
0.000817228,28.298,0.0735613,0
0.000987308,31.7873,0.0938343,0
0.0011775,34.5893,0.112521,0
0.00139019,36.6416,0.12793,0
0.00162802,38.0041,0.139276,0
0.00189399,38.8188,0.14672,0
0.0021914,39.2545,0.15107,0
0.00252399,39.4613,0.153355,0
0.00289591,39.5477,0.154471,0
0.00331181,39.5792,0.155031,0
0.00377689,39.5889,0.155376,0
0.00429698,39.5911,0.155658,0
0.00487856,39.5911,0.155938,0
0.00552893,39.5904,0.156235,0
0.0062562,39.5895,0.156553,0
0.00706949,39.5883,0.156896,0
0.00797895,39.587,0.157255,0
0.00899596,39.5855,0.15767,0
0.0101332,39.5837,0.157928,0
0.011405,39.5816,0.158971,0
0.0128272,39.5792,0.15712,0
0.0144175,39.576,0.163908,0
0.016196,39.5735,0.150959,0
0.0181847,39.5681,0.173007,0
0.0204086,39.5653,0.144206,0
0.0228955,39.558,0.179032,0
0.0256765,39.5531,0.141379,0
